name,id,description
Gesel Mason,Q616,choreographer
Dianne McIntyre,Q520,choreographer
Robert Battle,Q522,choreographer
Bebe Miller,Q525,choreographer
Donald McKayle,Q526,choreographer
Reggie Wilson,Q528,choreographer
Andrea Woods,Q617,choreographer
David Roussève,Q532,choreographer
Rennie Harris,Q533,choreographer
Jawole Willa Jo Zollar,Q535,choreographer
Pina Bausch,Q536,choreographer
Martha Graham,Q540,choreographer
Mark Morris,Q547,choreographer
Jean-François Créteaux,Q618,choreographer
Eva Mohn,Q619,choreographer
